Copyright 1986-2019 Xilinx, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2019.2.1 (lin64) Build 2729669 Thu Dec  5 04:48:12 MST 2019
| Date         : Fri Jan 12 15:14:30 2024
| Host         : james-HP-245-G8-Notebook-PC running 64-bit Ubuntu 23.04
| Command      : report_utilization -hierarchical -hierarchical_depth 6 -file /home/james/Documents/IIS/FPGA/Cryto/ClassicMceliehw_FPGA/test/ClassicMceliehw_FPGA/build/results/encap_utilization_hierarchical_artix7_100t_Artycs324g_32.txt
| Design       : encap_tb
| Device       : 7a100tcsg324-1
| Design State : Routed
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------+-------------------------------------+------------+------------+---------+------+-----+--------+--------+--------------+
|            Instance           |                Module               | Total LUTs | Logic LUTs | LUTRAMs | SRLs | FFs | RAMB36 | RAMB18 | DSP48 Blocks |
+-------------------------------+-------------------------------------+------------+------------+---------+------+-----+--------+--------+--------------+
| encap_tb                      |                               (top) |       3340 |       2896 |     444 |    0 | 614 |      4 |      0 |            0 |
|   (encap_tb)                  |                               (top) |          0 |          0 |       0 |    0 |   1 |      0 |      0 |            0 |
|   DUT                         |                       encap_seq_gen |        806 |        762 |      44 |    0 | 369 |      4 |      0 |            0 |
|     (DUT)                     |                       encap_seq_gen |        227 |        227 |       0 |    0 |  93 |      0 |      0 |            0 |
|     encryption_unit           |                   encrypt_col_block |        131 |        131 |       0 |    0 | 121 |      1 |      0 |            0 |
|       (encryption_unit)       |                   encrypt_col_block |        118 |        118 |       0 |    0 | 121 |      0 |      0 |            0 |
|       encrypt_mem             |            mem_dual__parameterized0 |         13 |         13 |       0 |    0 |   0 |      1 |      0 |            0 |
|     error_vector_gen          |            fixed_weight_no_shake_mw |        400 |        356 |      44 |    0 | 155 |      2 |      0 |            0 |
|       (error_vector_gen)      |            fixed_weight_no_shake_mw |         68 |         68 |       0 |    0 |  65 |      0 |      0 |            0 |
|       loca_mem                |          mem_single__parameterized1 |        102 |         90 |      12 |    0 |  12 |      0 |      0 |            0 |
|       mem_single_seed         |          mem_single__parameterized0 |         72 |         40 |      32 |    0 |  32 |      0 |      0 |            0 |
|       onegen_instance         |                        onegen_mw_op |        158 |        158 |       0 |    0 |  46 |      2 |      0 |            0 |
|         (onegen_instance)     |                        onegen_mw_op |        100 |        100 |       0 |    0 |  46 |      0 |      0 |            0 |
|         mem_dual_A            |                            mem_dual |         51 |         51 |       0 |    0 |   0 |      1 |      0 |            0 |
|         mem_dual_B            |                          mem_dual_0 |          7 |          7 |       0 |    0 |   0 |      1 |      0 |            0 |
|     hash_mem                  |            mem_dual__parameterized1 |         48 |         48 |       0 |    0 |   0 |      1 |      0 |            0 |
|   shake_instance              |                          keccak_top |       2534 |       2134 |     400 |    0 | 244 |      0 |      0 |            0 |
|     (shake_instance)          |                          keccak_top |          5 |          5 |       0 |    0 |   0 |      0 |      0 |            0 |
|     control_path_instance     |                        control_path |       1368 |       1368 |       0 |    0 | 124 |      0 |      0 |            0 |
|     data_path_instance        |                           data_path |       1161 |        761 |     400 |    0 | 120 |      0 |      0 |            0 |
|       (data_path_instance)    |                           data_path |          0 |          0 |       0 |    0 |  32 |      0 |      0 |            0 |
|       round_constants         |                                  rc |          0 |          0 |       0 |    0 |   5 |      0 |      0 |            0 |
|       state_ram_instance      |                           state_ram |       1161 |        761 |     400 |    0 |  78 |      0 |      0 |            0 |
